Facility Code,Facility Name,Health Facility Type,Ownership Major Classification,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Latitude,Longitude
DOH000000000009529,AGUILAR RURAL HEALTH UNIT,Rural Health Unit,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,AGUILAR,010550200,POBLACION,0105502011,15.888372,120.239032
DOH000000000009526,NAMATUCAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,NAMATUCAN,0105501012,16.052522,119.810783
DOH000000000009520,ALLABON BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,ALLABON,0105501001,,
DOH000000000009516,BARUAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,BARUAN,0105501004,16.019439,119.772973
DOH000000000009504,GAYUSAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,GAYUSAN,0105501009,16.054087,119.783817
DOH000000000009494,ALOLENG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,AGNO,010550100,ALOLENG,0105501002,16.1223755,119.7839355
DOH000000000000949,BACAG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,VILLASIS,010554700,BACAG,0105547002,15.930623,120.580806
DOH000000000009488,DANGLEY BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,DANGLEY,0105501007,16.112091,119.794581
DOH000000000009479,MACABOBONI BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,AGNO,010550100,MACABOBONI,0105501010,,
DOH000000000000947,ASERDA BARANGAY HEALTH CENTER,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MAPANDAN,0105528000,ASERDA,0105528003,16.022899,120.462115
DOH000000000009468,PATAR BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,PATAR,0105501013,16.158819,119.809553
DOH000000000000946,ASAN SUR BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,SISON,0105541000,ASAN SUR,0105541006,16.1549034,120.5158844
DOH000000000009459,VIGA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,AGNO,010550100,VIGA,0105501018,,
DOH000000000009446,CAYUNGNAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,CAYUNGNAN,0105501006,16.132495,119.838315
DOH000000000000944,ARAMAL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,SAN FABIAN,0105533000,ARAMAL,0105533004,16.123871,120.434657
DOH000000000009439,SAN JUAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,SAN JUAN,0105501016,,
DOH000000000000943,APAYA BARANGAY HEALTH CENTER,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MAPANDAN,0105528000,APAYA,0105528002,16.023563,120.445689
DOH000000000009428,BANGAN-ODA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,BANGAN-ODA,0105501003,16.109353,119.829037
DOH000000000000942,APAYA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MALASIQUI,0105524000,APAYA,0105524007,15.893586,120.422498
DOH000000000009409,POBLACION EAST BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,AGNO,0105501000,POBLACION EAST,0105501014,,
DOH000000000000940,ANOLID BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MALASIQUI,0105524000,ANOLID,0105524006,15.8962164,120.4112265
DOH000000000009386,BOLINGIT BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BOLINGIT,0105532018,15.9559088,120.348877
DOH000000000000938,AMANOAOAC HEALTH FACILITY,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MAPANDAN,0105528000,AMANOAOAC,0105528001,16.01699,120.44538
DOH000000000000937,AMANCOSILING NORTE BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,BAYAMBANG,010551100,AMANCOSILING NORTE,0105511003,15.781562,120.455524
DOH000000000000936,ALOS BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF ALAMINOS,010550300,ALOS,0105503001,16.1016998,119.9645004
DOH000000000009351,CRUZ BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,CRUZ,0105532031,15.9629002,120.3495865
DOH000000000009340,MABINI BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MABINI (POB.),0105532046,15.9274178,120.3490829
DOH000000000009337,QUEZON BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,QUEZON BOULEVARD (POB.),0105532073,15.9303179,120.353981
DOH000000000009332,RIZAL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,RIZAL (POB.),0105532075,15.9309177,120.3459854
DOH000000000009330,PEREZ BOULEVARD BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,PEREZ BOULEVARD (POB.),0105532071,15.9259996,120.3518372
DOH000000000009326,TANDANG SORA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,TANDANG SORA,0105532092,15.9291945,120.3499603
DOH000000000009319,PNR SITE BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,PNR STATION SITE,0105532081,15.9313107,120.3510895
DOH000000000009314,PALARIS BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,PALARIS (POB.),0105532061,15.9253178,120.3449783
DOH000000000009308,PADILLA-GOMEZ BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,PADILLA-GOMEZ,0105532057,15.9180956,120.3471832
DOH000000000009303,BUGALLON-POSADAS STREET BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BUGALLON-POSADAS STREET (POB.),0105532016,15.9274969,120.3458405
DOH000000000009295,INERANGAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,INERANGAN,0105532038,15.9601173,120.3664856
DOH000000000009286,BALAYONG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BALAYONG,0105532009,15.9492178,120.3427811
DOH000000000009269,M. SORIANO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,M. SORIANO,0105532091,15.9246178,120.3477783
DOH000000000009263,NELINTAP BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,NILENTAP,0105532056,15.9544306,120.367157
DOH000000000000926,NATIVIDAD RURAL HEALTH UNIT,Rural Health Unit,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,NATIVIDAD,010552900,POBLACION EAST,0105529011,16.0430508,120.7973328
DOH000000000009254,MATAGDEM BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MATAGDEM,0105532053,15.9531174,120.3547821
DOH000000000009244,LILIMASAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,LILIMASAN,0105532041,15.9338102,120.3786316
DOH000000000000924,MANGALDAN RURAL HEALTH UNIT I,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MANGALDAN,0105526000,POBLACION,0105526025,16.071063,120.405412
DOH000000000009237,BEGA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BEGA,0105532014,15.9305429,120.3613739
DOH000000000000923,LINGAYEN RURAL HEALTH UNIT I,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,LINGAYEN (CAPITAL),0105522000,POBLACION,0105522028,16.0191176,120.2306821
DOH000000000009226,PALOSPOS BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PALOSPOS,0105532062,15.8668861,120.3617249
DOH000000000000922,BINMALEY RURAL HEALTH UNIT I INFIRMARY,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,BINMALEY,0105513000,POBLACION,0105513026,16.0263176,120.2686821
DOH000000000009218,BALITE SUR BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BALITE SUR,0105532011,15.8778343,120.3611908
DOH000000000009212,LONGOS BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,LONGOS,0105532043,15.9250393,120.3575821
DOH000000000009200,SAN CARLOS CITY RURAL HEALTH UNIT IV,Rural Health Unit,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MAGTAKING,0105532047,15.9144392,120.361145
DOH000000000009193,ANO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,ANO,0105532004,15.9513979,120.3805923
DOH000000000009181,TARECE BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,TARECE,0105532086,15.9385071,120.3624344
DOH000000000009175,PAYAPA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PAYAPA,0105532069,15.9101038,120.3815002
DOH000000000009171,TARECTEC BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,TARECTEC,0105532087,15.8975964,120.387352
DOH000000000009166,COBOL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,COBOL,0105532029,15.9016399,120.3905029
DOH000000000009155,COLILING BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,COLILING,0105532030,15.9204102,120.3747864
DOH000000000009151,ILANG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,ILANG,0105532037,15.9193048,120.3559036
DOH000000000009141,TAYAMBANI BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,TAYAMBANI,0105532088,15.8998175,120.3082809
DOH000000000009135,MALIWARA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MALIWARA,0105532050,15.8984175,120.3128815
DOH000000000009132,BALAYA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BALAYA,0105532008,15.9202175,120.2902832
DOH000000000009126,GAMATA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,GAMATA,0105532035,15.9264174,120.301384
DOH000000000009118,PANGOLOAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PANGOLOAN,0105532064,15.9265175,120.316185
DOH000000000009110,SAN JUAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,SAN JUAN,0105532078,15.9147177,120.3302841
DOH000000000009105,BALDOG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BALDOG,0105532010,15.9073172,120.3193817
DOH000000000009098,ISLA BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,ISLA,0105532039,15.8943176,120.3022842
DOH000000000009093,APONIT BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,APONIT,0105532006,15.8991175,120.2867813
DOH000000000009087,ANTIPANGOL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,ANTIPANGOL,0105532005,15.9317179,120.2719803
DOH000000000009083,MABALBALINO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MABALBALINO,0105532045,15.9153175,120.2591858
DOH000000000009075,BOGAOAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BOGAOAN,0105532017,15.9097176,120.2685852
DOH000000000009073,BANI BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BANI,0105532013,15.9010172,120.2637787
DOH000000000009069,BOCBOC BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BOCBOC,0105532015,15.8885174,120.2612839
DOH000000000009067,TAMAYO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,TAMAYO,0105532084,15.8806171,120.28508
DOH000000000009061,SALINAP BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,SALINAP,0105532077,15.8875179,120.272583
DOH000000000009056,BUENGLAT BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BUENGLAT,0105532021,15.9085178,120.3084793
DOH000000000009049,CAINGAL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,CAINGAL,0105532024,15.9113176,120.3459821
DOH000000000009045,CAOAYAN-KILING BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,CAOAYAN-KILING,0105532028,15.8556176,120.3231821
DOH000000000009038,ANANDO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,ANANDO,0105532003,15.8690176,120.3137821
DOH000000000009020,SUPO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,SUPO,0105532082,15.8379176,120.2958821
DOH000000000009017,GUELEW BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,GUELEW,0105532036,15.8527174,120.3071823
DOH000000000009012,BOLOSAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BOLOSAN,0105532019,15.9019176,120.3439821
DOH000000000009001,POLO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,POLO,0105532072,15.8954176,120.3217821
DOH000000000008987,TEBAG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,TEBAG,0105532089,15.8995176,120.3322821
DOH000000000000898,CAPULAAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,VILLASIS,010554700,CAPULAAN,0105547005,15.899733,120.539956
DOH000000000008973,BACNAR BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BACNAR,0105532007,15.8877176,120.3426821
DOH000000000008956,PAYAR BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PAYAR,0105532070,15.8894176,120.3105821
DOH000000000008945,MALACANANG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MALACA?ANG,0105532048,15.9180176,120.3347821
DOH000000000008943,NAGUILYAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,NAGUILAYAN,0105532055,15.959712,120.337873
DOH000000000008935,CAPATAAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,CAPATAAN,0105532027,15.949322,120.310791
DOH000000000008917,BONIFACIO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BONIFACIO (POB.),0105532020,15.923957,120.343887
DOH000000000008910,BURGOS BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,BURGOS PADLAN (POB.),0105532022,15.92675,120.3452167
DOH000000000000891,BANI MAIN HEALTH CENTER II,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,BANI,0105508000,SAN JOSE,0105508019,16.213099,119.865184
DOH000000000008899,SAN PEDRO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,SAN PEDRO-TALOY,0105532079,15.926322,120.341008
DOH000000000008889,CACARITAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,CACARITAN,0105532023,15.94213,120.337784
DOH000000000008887,PAGAL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PAGAL,0105532058,15.950137,120.332032
DOH000000000008884,QUINTONG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,QUINTONG,0105532074,15.962401,120.319604
DOH000000000008881,TANDOC BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,TANDOC,0105532085,15.958654,120.328615
DOH000000000008880,LUCBAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,LUCBAN (POB.),0105532044,15.928599,120.344785
DOH000000000008877,PANGPANG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PANGPANG,0105532065,15.938969,120.310861
DOH000000000008876,PANGALANGAN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,PANGALANGAN,0105532063,15.952746,120.319427
DOH000000000008868,MAMARLAO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,MAMARLAO,0105532051,15.92912,120.322873
DOH000000000008864,TURAC BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,TURAC,0105532090,15.8966589,120.3722992
DOH000000000008861,SAN CARLOS CITY RURAL HEALTH UNIT III,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF SAN CARLOS,0105532000,TALANG,0105532083,15.9044167,120.3078
DOH000000000008795,SAN CARLOS CITY RURAL HEALTH UNIT II,Rural Health Unit,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,AGDAO,0105532002,15.9147176,120.3302821
DOH000000000008773,SAN CARLOS CITY RURAL HEALTH UNIT I,Rural Health Unit,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF SAN CARLOS,010553200,ROXAS BOULEVARD (POB.),0105532076,15.9337,120.3462333
DOH000000000000865,MANGALDAN RURAL HEALTH UNIT II,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MANGALDAN,0105526000,BANTAYAN,0105526005,16.090824,120.390377
DOH000000000000864,MALASIQUI RURAL HEALTH UNIT II,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MALASIQUI,0105524000,DON PEDRO,0105524031,15.887071,120.42989
DOH000000000008584,AMANDIEGO BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,CITY OF ALAMINOS,010550300,AMANDIEGO,0105503002,16.1369991,119.9682999
DOH000000000007697,ROSALES RURAL HEALTH UNIT,Rural Health Unit,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,ROSALES,0105531000,ZONE V (POB.),0105531039,15.891458,120.63243
DOH000000000007696,BAYAMBANG RURAL HEALTH UNIT I,Rural Health Unit,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,BAYAMBANG,010551100,ZONE I (POB.),0105511073,15.809854,120.455965
DOH000000000007647,TALOGTOG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MANGATAREM,0105527000,TALOGTOG,0105527077,15.7616176,120.3210821
